downlink,rtt
9.36,29.44
9.36,29.44
9.36,29.44
9.36,29.44
9.36,29.44
9.36,29.44
9.36,29.44
9.36,29.44
9.36,29.44
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
10.46,30.51
8.77,31.35
8.77,31.35
8.77,31.35
8.77,31.35
8.77,31.35
8.77,31.35
8.77,31.35
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
9.34,46.52
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
10.22,43.00
8.47,33.14
8.47,33.14
8.47,33.14
8.47,33.14
8.47,33.14
8.47,33.14
8.47,33.14
8.47,33.14
8.47,33.14
8.47,33.14
8.47,33.14
8.47,33.14
8.47,33.14
8.47,33.14
8.37,33.62
8.37,33.62
8.37,33.62
8.37,33.62
8.37,33.62
8.37,33.62
9.42,31.96
9.42,31.96
9.42,31.96
9.42,31.96
9.42,31.96
9.42,31.96
9.42,31.96
9.42,31.96
9.42,31.96
9.42,31.96
9.42,31.96
9.42,31.96
9.42,31.96
9.42,31.96
9.42,31.96
9.42,31.96
6.25,30.50
6.25,30.50
6.25,30.50
6.25,30.50
6.25,30.50
6.25,30.50
6.25,30.50
6.25,30.50
6.25,30.50
6.25,30.50
6.25,30.50
6.25,30.50
6.25,30.50
6.25,30.50
6.25,30.50
6.25,30.50
10.23,30.45
10.23,30.45
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.18,38.01
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.21,34.27
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
10.03,43.22
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
2.18,31.65
9.66,31.94
9.66,31.94
9.66,31.94
9.66,31.94
