downlink,rtt
7.81,50.41
7.81,50.41
7.81,50.41
7.81,50.41
7.81,50.41
7.81,50.41
7.81,50.41
7.81,50.41
7.81,50.41
7.81,50.41
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
7.56,48.86
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
9.58,52.11
7.03,48.41
7.03,48.41
7.03,48.41
7.56,48.86
7.03,48.41
7.03,48.41
8.32,47.90
8.32,47.90
8.32,47.90
8.32,47.90
8.32,47.90
8.32,47.90
8.32,47.90
8.32,47.90
8.32,47.90
8.32,47.90
8.32,47.90
8.32,47.90
8.32,47.90
3.86,48.36
3.86,48.36
8.32,47.90
3.86,48.36
3.86,48.36
3.86,48.36
3.86,48.36
3.86,48.36
3.86,48.36
3.86,48.36
3.86,48.36
3.86,48.36
3.86,48.36
3.86,48.36
3.86,48.36
3.86,48.36
3.86,48.36
3.86,48.36
7.47,48.65
7.47,48.65
7.47,48.65
7.47,48.65
7.47,48.65
7.47,48.65
7.47,48.65
7.47,48.65
7.47,48.65
7.47,48.65
7.47,48.65
6.75,94.43
6.75,94.43
6.75,94.43
6.75,94.43
6.75,94.43
6.75,94.43
6.75,94.43
6.75,94.43
6.75,94.43
9.80,60.77
9.80,60.77
9.80,60.77
9.80,60.77
8.58,60.07
8.58,60.07
8.58,60.07
8.58,60.07
8.58,60.07
8.58,60.07
8.58,60.07
8.58,60.07
7.99,51.51
7.99,51.51
7.99,51.51
7.99,51.51
7.99,51.51
7.99,51.51
7.99,51.51
7.99,51.51
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
5.20,49.19
6.55,49.29
6.55,49.29
6.55,49.29
6.55,49.29
6.55,49.29
6.55,49.29
6.55,49.29
6.55,49.29
6.55,49.29
6.55,49.29
3.98,396.23
3.98,396.23
3.98,396.23
3.98,396.23
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.83,211.37
9.49,50.99
9.49,50.99
9.49,50.99
9.49,50.99
9.49,50.99
9.49,50.99
9.49,50.99
9.49,50.99
9.49,50.99
9.49,50.99
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
8.79,46.50
6.13,48.49
6.13,48.49
8.79,46.50
8.79,46.50
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
6.13,48.49
12.61,54.47
12.61,54.47
12.61,54.47
12.61,54.47
12.61,54.47
12.61,54.47
12.61,54.47
12.61,54.47
12.61,54.47
12.61,54.47
12.61,54.47
5.75,47.65
5.75,47.65
5.75,47.65
12.61,54.47
5.75,47.65
8.63,247.76
8.63,247.76
8.63,247.76
4.22,48.69
4.22,48.69
4.22,48.69
9.62,49.93
9.62,49.93
9.62,49.93
9.62,49.93
9.62,49.93
9.62,49.93
9.62,49.93
9.62,49.93
9.62,49.93
9.62,49.93
9.62,49.93
9.62,49.93
9.62,49.93
9.78,145.04
9.78,145.04
9.78,145.04
9.78,145.04
9.78,145.04
9.78,145.04
9.78,145.04
9.78,145.04
9.78,145.04
9.78,145.04
9.78,145.04
9.78,145.04
9.78,145.04
9.84,47.60
9.78,145.04
9.78,145.04
9.78,145.04
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
9.84,47.60
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
8.11,52.38
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
4.34,52.24
8.42,65.97
8.42,65.97
8.42,65.97
8.42,65.97
8.42,65.97
8.42,65.97
8.42,65.97
8.42,65.97
3.65,61.78
3.65,61.78
3.65,61.78
3.65,61.78
3.65,61.78
3.65,61.78
3.65,61.78
3.65,61.78
3.65,61.78
3.65,61.78
3.65,61.78
3.65,61.78
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
4.23,214.66
